"","Country","hf_score_2019","hf_rank_2019","pf_religion_2019","pf_expression_2019","ef_score_2019","pf_ss_2019","hf_score_2020","hf_rank_2020","pf_religion_2020","pf_expression_2020","ef_score_2020","pf_ss_2020"
"1","Albania",8.07,42,9.7375,6.2486,7.79,9.35008305647841,7.67,47,9.7575,6.10686666666667,7.64,9.24972591362126
"2","Algeria",5.08,155,5.23666666666667,4.58665435004406,4.86,8.95293604651163,5.13,154,5.41729166666667,4.39541350057219,5.12,8.84007406047069
"3","Angola",5.96,127,6.73666666666667,5.50071111111111,5.55,8.46316364547016,5.97,122,6.74604166666667,5.59754444444444,5.91,8.47378193116603
"4","Argentina",7.33,75,9.859375,8.20544444444444,5.44,8.4043625876963,6.99,74,9.87375,8.38984444444445,4.87,8.50489830198202
"5","Armenia",8.32,34,8.33854166666667,7.61744444444444,7.98,9.2649169435216,8.14,26,8.38979166666667,7.58094444444444,7.84,9.39581810631229
"6","Australia",8.83,11,9.8525,8.98041666666667,8.17,9.73367524916944,8.51,11,9.859375,9.090625,8.04,9.75890365448505
"7","Austria",8.68,21,8.733125,9.01133333333333,7.86,9.77928571428571,8.26,22,8.851875,9.01066666666666,7.56,9.8365988372093
"8","Azerbaijan",6.02,126,4.69958333333333,2.29184723910769,6.43,8.85421511627907,5.7,131,4.13208333333333,2.56308888888889,6.21,8.03452242524917
"9","Bahamas, The",8.15,39,10,9.16666666666667,7.21,6.45494186046512,8.14,26,10,9.16666666666667,7.02,7.30232558139535
"10","Bahrain",5.43,147,2.53895833333333,1.58328888888889,7.43,8.69577242524917,5.49,141,2.60458333333333,1.63678888888889,7.47,8.69773671096346
"11","Bangladesh",5.56,142,7.36645833333333,4.01347035453587,6.04,7.41076286290956,5.51,139,7.24770833333333,4.03955242930576,5.89,7.40415572005242
"12","Barbados",7.93,47,9.89625,9.58666666666667,7.05,7.32476744186047,7.69,46,9.890625,8.34516666666667,7.01,7.3949757751938
"13","Belarus",6.27,117,5.68270833333333,3.19171111111111,6.48,8.845676910299,5.78,126,4.52895833333333,1.96767777777778,6.83,7.87121262458472
"14","Belgium",8.55,24,8.93104166666667,9.01795833333333,7.62,9.69665697674419,8.27,21,8.93979166666667,8.96245833333333,7.37,9.69826411960133
"15","Belize",7.48,66,10,8.05555555555556,6.41,5.01017441860465,7.02,73,10,8.88888888888889,6.23,6.2718023255814
"16","Benin",7.25,76,9.574375,6.79673333333333,6.66,9.06157492121546,6.95,76,9.6,6.30796666666667,6.51,9.16103920692975
"17","Bhutan",6.68,103,6.95229166666667,6.83446666666667,6.52,9.39899086378738,6.71,86,7.09979166666667,6.89253333333334,6.49,9.20422757475083
"18","Bolivia",6.88,91,8.10479166666667,6.91643333333333,6.32,8.58345099667774,6.6,98,8.00729166666667,6.88063333333333,6.15,8.48880813953488
"19","Bosnia and Herzegovina",7.43,70,8.51416666666667,6.06571111111111,6.94,9.19420265780731,7.35,63,8.50166666666667,6.04557777777778,6.72,9.18634551495016
"20","Botswana",7.76,58,8.58854166666667,7.17676666666667,7.47,7.67796207790401,7.44,61,8.28604166666667,7.1634,7.35,7.63331922076115
"21","Brazil",7.25,76,8.30479166666667,7.24749185509882,6.6,6.10752937850369,6.86,80,8.41604166666667,7.22727873984426,6.33,5.9968150927894
