"","Country","GDP_2019","GDP_2020","pop_2019","pop_2020","unemployment_2019","unemployment_2020"
"3","Afghanistan",NA,"1,547.29",32.2,"32.941",NA,""
"47","Albania",NA,"1,644.08",2.881,"2.878",11.47,"11.675"
"91","Algeria",NA,"18,476.90",43.424,"43.851",11.383,NA
"135","Andorra",2.818,"2.531",0.078,"0.078",1.775,"2.85"
"179","Angola",NA,"33,041.00",32.354,"33.428",NA,""
"223","Antigua and Barbuda",4.556,"3.7",0.096,"0.098",NA,""
"267","Argentina",NA,"27,481.44",44.939,"45.388",9.825,"11.55"
"311","Armenia",NA,"6,181.90",2.963,"2.962",18.3,"18.2"
"355","Aruba",6.03,"4.672",0.109,"0.109",5.2,"8.6"
"399","Australia",NA,"1,970.80",25.527,"25.639",5.192,"6.492"
"443","Austria",397.17,"381.043",8.859,"8.901",4.817,"5.475"
"487","Azerbaijan",81.896,"72.578",9.982,"10.067",4.848,"7.157"
"531","The Bahamas",13.193,"9.7",0.381,"0.385",10.1,"25.55"
"575","Bahrain",14.534,"13.018",1.484,"1.472",4.7,"5.9"
"619","Bangladesh",NA,"31,704.69",163.046,"164.689",NA,""
"663","Barbados",10.596,"9.431",0.287,"0.288",10.088,"21.121"
"707","Belarus",134.732,"149.721",9.429,"9.41",4.191,"4.082"
"751","Belgium",478.645,"459.826",11.456,"11.522",5.383,"5.575"
"795","Belize",4.833,"4.16",0.408,"0.421",9.041,"13.743"
"839","Benin",NA,"9,008.81",12.297,"12.663",NA,""
"883","Bhutan",172.951,"175.428",0.738,"0.745",2.72,"5.03"
"927","Bolivia",282.587,"253.112",11.47,"11.63",5.012,"8.336"
"971","Bosnia and Herzegovina",35.785,"34.727",3.491,"3.487",15.7,"15.9"
"1015","Botswana",179.58,"171.042",2.5,"2.546",NA,""
"1059","Brazil",NA,"7,609.60",210.147,"211.756",11.1,"14.2"
"1103","Brunei Darussalam",18.375,"16.564",0.451,"0.442",6.822,"6.822"
"1147","Bulgaria",120.396,"120.553",6.951,"6.917",4.275,"5.207"
"1191","Burkina Faso",NA,"10,322.33",20.952,"21.54",NA,""
"1235","Burundi",NA,"5,910.57",11.529,"11.875",NA,""
"1279","Cabo Verde",213.942,"180.742",0.55,"0.557",8.5,"8.5"
"1323","Cambodia",NA,"105,891.75",15.6,"15.678",NA,""
"1367","Cameroon",NA,"23,486.47",25.876,"26.546",NA,""
"1411","Canada",NA,"2,209.68",37.54,"37.977",5.7,"9.725"
"1455","Central African Republic",NA,"1,372.82",4.745,"4.83",NA,""
"1499","Chad",NA,"6,182.69",15.947,"16.426",NA,""
