"","ISO","WEO.Subject.Code","Country","Subject.Descriptor","Units","Scale","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","Estimates.Start.After"
"1","AFG","NGDP_R","Afghanistan","Gross domestic product, constant prices","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453.484,492.903,496.209,554.91,584.658,662.65,688.247,829.924,899.956,958.266,NA,NA,NA,NA,NA,NA,NA,NA,"1,288.87",NA,NA,NA,2020
"2","AFG","NGDP_RPCH","Afghanistan","Gross domestic product, constant prices","Percent change","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.647,1.189,3.912,"-2.351",NA,NA,NA,2020
"3","AFG","NGDP","Afghanistan","Gross domestic product, current prices","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.756,220.013,246.21,304.926,345.817,427.495,517.509,607.227,711.759,836.222,NA,NA,NA,NA,NA,NA,NA,NA,"1,547.29",NA,NA,NA,2020
"4","AFG","NGDPD","Afghanistan","Gross domestic product, current prices","U.S. dollars","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.401,18.876,"20.136",NA,NA,NA,2020
"5","AFG","PPPGDP","Afghanistan","Gross domestic product, current prices","Purchasing power parity; international dollars","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.661,21.792,22.527,25.982,28.22,32.848,34.772,42.198,46.309,50.334,59.945,63.784,69.444,72.056,70.098,74.712,77.418,81.889,"81.007",NA,NA,NA,2020
"6","AFG","NGDP_D","Afghanistan","Gross domestic product, deflator","Index","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.418,44.636,49.618,54.951,59.149,64.513,75.192,73.167,79.088,87.264,94.641,96.764,99.809,102.469,100,102.404,104.525,111.341,"120.05",NA,NA,NA,2020
"7","AFG","NGDPRPC","Afghanistan","Gross domestic product per capita, constant prices","National currency","Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39,127.08",NA,NA,NA,2019
"8","AFG","NGDPRPPPPC","Afghanistan","Gross domestic product per capita, constant prices","Purchasing power parity; 2017 international dollar","Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,328.76",NA,NA,NA,2019
"9","AFG","NGDPPC","Afghanistan","Gross domestic product per capita, current prices","National currency","Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46,972.10",NA,NA,NA,2019
"10","AFG","NGDPDPC","Afghanistan","Gross domestic product per capita, current prices","U.S. dollars","Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,"611.268",NA,NA,NA,2019
